,url,expanded_url,display_url,indices
1264,https://t.co/XCPTOm990q,http://sptnkne.ws/Ckek,sptnkne.ws/Ckek,"[93, 116]"
1265,https://t.co/OSlTHgGUFG,https://sptnkne.ws/CknZ,sptnkne.ws/CknZ,"[81, 104]"
1266,https://t.co/VRcr8NFPmw,https://sptnkne.ws/CknW,sptnkne.ws/CknW,"[100, 123]"
1267,https://t.co/R1Ru1KUT3B,http://sptnkne.ws/CkcC,sptnkne.ws/CkcC,"[94, 117]"
1268,https://t.co/UKzDiIJDsF,https://sptnkne.ws/Ckpu,sptnkne.ws/Ckpu,"[73, 96]"
1269,https://t.co/oj3vSSoyMc,http://sptnkne.ws/Ckcy,sptnkne.ws/Ckcy,"[112, 135]"
1270,https://t.co/7OYNwC8Rdd,https://sptnkne.ws/CknQ,sptnkne.ws/CknQ,"[75, 98]"
1271,https://t.co/kXOO0D9AQq,http://sptnkne.ws/CjPC,sptnkne.ws/CjPC,"[82, 105]"
1272,https://t.co/VNSmJQNSsG,https://sptnkne.ws/Ckn4,sptnkne.ws/Ckn4,"[88, 111]"
1273,https://t.co/zTRW6zN4xW,http://sptnkne.ws/CjTq,sptnkne.ws/CjTq,"[94, 117]"
1274,https://t.co/1RR9Airr8c,http://sptnkne.ws/CkcM,sptnkne.ws/CkcM,"[54, 77]"
1275,https://t.co/s0PYFeP9wE,https://sptnkne.ws/Ckka,sptnkne.ws/Ckka,"[85, 108]"
1276,https://t.co/1RR9Airr8c,http://sptnkne.ws/CkcM,sptnkne.ws/CkcM,"[115, 138]"
1277,https://t.co/JhzAww2tiZ,https://sptnkne.ws/Ckjv,sptnkne.ws/Ckjv,"[98, 121]"
1278,https://t.co/1RR9AiJ1ZK,http://sptnkne.ws/CkcM,sptnkne.ws/CkcM,"[89, 112]"
1279,https://t.co/46650Ly2el,https://sptnkne.ws/Ckj2,sptnkne.ws/Ckj2,"[100, 123]"
1280,https://t.co/46650Ly2el,https://sptnkne.ws/Ckj2,sptnkne.ws/Ckj2,"[92, 115]"
