,url,expanded_url,display_url,indices
2015,https://t.co/N51VWRNKj1,http://bit.ly/2Ia8uB6,bit.ly/2Ia8uB6,"[78, 101]"
2017,https://t.co/N51VWRw8Ur,http://bit.ly/2Ia8uB6,bit.ly/2Ia8uB6,"[78, 101]"
2023,https://t.co/QtLooLCzP9,http://bit.ly/2vk2hQw,bit.ly/2vk2hQw,"[69, 92]"
2029,https://t.co/b26EKupsXS,http://bit.ly/2I7glPX,bit.ly/2I7glPX,"[86, 109]"
2031,https://t.co/b26EKupsXS,http://bit.ly/2I7glPX,bit.ly/2I7glPX,"[67, 90]"
2034,https://t.co/aDm3blD1SG,http://bit.ly/38dWYPU,bit.ly/38dWYPU,"[75, 98]"
2041,https://t.co/sBc3i9SYIJ,http://bit.ly/3cn0FG3,bit.ly/3cn0FG3,"[66, 89]"
2047,https://t.co/ULD059IzXD,http://bit.ly/2Vzc0Ny,bit.ly/2Vzc0Ny,"[76, 99]"
2063,https://t.co/rseb3UIRRv,http://bit.ly/2PyUWmY,bit.ly/2PyUWmY,"[66, 89]"
2065,https://t.co/zewWwgUqRe,http://bit.ly/3arcBVN,bit.ly/3arcBVN,"[97, 120]"
2066,https://t.co/KTDMbMh1fX,http://bit.ly/2T7S4Qa,bit.ly/2T7S4Qa,"[75, 98]"
2069,https://t.co/nBJymvK232,http://bit.ly/2I2UQQn,bit.ly/2I2UQQn,"[75, 98]"
2070,https://t.co/UYXW5oPWqO,http://bit.ly/2PyGR96,bit.ly/2PyGR96,"[102, 125]"
2071,https://t.co/JBEPINyabT,http://bit.ly/2I4VD3l,bit.ly/2I4VD3l,"[84, 107]"
2072,https://t.co/TOxlx14w0z,http://bit.ly/2VzxAkS,bit.ly/2VzxAkS,"[79, 102]"
2073,https://t.co/hEpyh2lwby,http://bit.ly/38eWwkw,bit.ly/38eWwkw,"[84, 107]"
2074,https://t.co/5rWRMWeugL,http://bit.ly/2T6ISeI,bit.ly/2T6ISeI,"[64, 87]"
2076,https://t.co/5rWRMWeugL,http://bit.ly/2T6ISeI,bit.ly/2T6ISeI,"[64, 87]"
2079,https://t.co/8TWfMxCYu1,http://bit.ly/2wNXSFB,bit.ly/2wNXSFB,"[58, 81]"
2082,https://t.co/8TWfMxCYu1,http://bit.ly/2wNXSFB,bit.ly/2wNXSFB,"[91, 114]"
2083,https://t.co/8TWfMxCYu1,http://bit.ly/2wNXSFB,bit.ly/2wNXSFB,"[73, 96]"
2102,https://t.co/VlIDa4NtKt,http://bit.ly/2PuSnCs,bit.ly/2PuSnCs,"[63, 86]"
2106,https://t.co/VlIDa4NtKt,http://bit.ly/2PuSnCs,bit.ly/2PuSnCs,"[55, 78]"
2109,https://t.co/ceieoSaLqJ,http://bit.ly/2TotYPP,bit.ly/2TotYPP,"[81, 104]"
2111,https://t.co/OrJd0hzaMr,http://bit.ly/32zPUM9,bit.ly/32zPUM9,"[104, 127]"
2112,https://t.co/97OPz3KMet,http://bit.ly/398nfAo,bit.ly/398nfAo,"[76, 99]"
2133,https://t.co/eHY8iNiHsN,http://bit.ly/2T3H3PB,bit.ly/2T3H3PB,"[82, 105]"
2138,https://t.co/XNxkfh4Dlx,http://bit.ly/3aciRAe,bit.ly/3aciRAe,"[73, 96]"
2141,https://t.co/wqzmKwRuNq,http://bit.ly/2uwcwk2,bit.ly/2uwcwk2,"[80, 103]"
2147,https://t.co/KCUSkIlbwb,http://bit.ly/2IcpZ41,bit.ly/2IcpZ41,"[73, 96]"
2150,https://t.co/rknrHBwcrG,http://bit.ly/2Pv9aVN,bit.ly/2Pv9aVN,"[75, 98]"
2162,https://t.co/JE0vhv595s,https://bit.ly/2Tdxblm,bit.ly/2Tdxblm,"[83, 106]"
2163,https://t.co/Rj7mc7oNJH,http://bit.ly/2wHRrUv,bit.ly/2wHRrUv,"[100, 123]"
2167,https://t.co/LsS9XnREq3,http://bit.ly/2wR7GPl,bit.ly/2wR7GPl,"[65, 88]"
2168,https://t.co/lyX7ncRGUc,http://bit.ly/393OfRo,bit.ly/393OfRo,"[77, 100]"
2170,https://t.co/O31ZIuVHeJ,http://bit.ly/32sjjId,bit.ly/32sjjId,"[83, 106]"
2173,https://t.co/O31ZIuVHeJ,http://bit.ly/32sjjId,bit.ly/32sjjId,"[81, 104]"
2180,https://t.co/lgzPeFbqWE,http://bit.ly/2PoGA8H,bit.ly/2PoGA8H,"[107, 130]"
2194,https://t.co/R4nBwTVOZ8,http://bit.ly/3911x0W,bit.ly/3911x0W,"[94, 117]"
2197,https://t.co/aJSsP8QPi5,http://bit.ly/3afn1aX,bit.ly/3afn1aX,"[82, 105]"
2201,https://t.co/AdqpzNtoqb,http://bit.ly/2v7cpvQ,bit.ly/2v7cpvQ,"[50, 73]"
2202,https://t.co/hTRAIHDyet,https://www.youtube.com/watch?v=g2yFaWipdfk,youtube.com/watch?v=g2yFaW…,"[55, 78]"
2204,https://t.co/P79BD9Q8E9,http://bit.ly/2wGVgt3,bit.ly/2wGVgt3,"[70, 93]"
2208,https://t.co/MAcQ2vTxWG,http://bit.ly/2Vh9I5v,bit.ly/2Vh9I5v,"[85, 108]"
2209,https://t.co/RtF7n1aF1b,http://bit.ly/37Tt0Ap,bit.ly/37Tt0Ap,"[92, 115]"
2211,https://t.co/MAcQ2vTxWG,http://bit.ly/2Vh9I5v,bit.ly/2Vh9I5v,"[78, 101]"
2212,https://t.co/9NjK2JhTuZ,https://www.youtube.com/watch?v=rG1FqrddJdU,youtube.com/watch?v=rG1Fqr…,"[51, 74]"
2215,https://t.co/MTKS53pf8P,https://www.youtube.com/watch?v=r-cHJKrotxk,youtube.com/watch?v=r-cHJK…,"[61, 84]"
2217,https://t.co/AhQiNWEpGz,http://bit.ly/2VgtUEy,bit.ly/2VgtUEy,"[66, 89]"
2218,https://t.co/N7rWBNhigq,http://bit.ly/2VoBOf1,bit.ly/2VoBOf1,"[68, 91]"
2219,https://t.co/XH8gltreJ0,http://bit.ly/38YC2gY,bit.ly/38YC2gY,"[59, 82]"
2221,https://t.co/RtF7n1aF1b,http://bit.ly/37Tt0Ap,bit.ly/37Tt0Ap,"[85, 108]"
2223,https://t.co/ooeJt7IzE4,http://bit.ly/37Wijgr,bit.ly/37Wijgr,"[76, 99]"
2245,https://t.co/WyHVIpJY85,http://bit.ly/37R9iVX,bit.ly/37R9iVX,"[81, 104]"
2246,https://t.co/5cYS5hrax4,http://bit.ly/32knRjR,bit.ly/32knRjR,"[81, 104]"
2252,https://t.co/Lx846wGLxb,http://bit.ly/32r8u9o,bit.ly/32r8u9o,"[60, 83]"
2253,https://t.co/RbH0IjcgGf,http://bit.ly/2SUJOTj,bit.ly/2SUJOTj,"[51, 74]"
2257,https://t.co/cuIz39Bd02,https://www.youtube.com/watch?v=ylVWRZIZgqQ,youtube.com/watch?v=ylVWRZ…,"[44, 67]"
2263,https://t.co/CgzMN3ei4b,http://bit.ly/396GABK,bit.ly/396GABK,"[80, 103]"
2264,https://t.co/fVFdvZEg4t,http://bit.ly/2ViWIfu,bit.ly/2ViWIfu,"[64, 87]"
2265,https://t.co/9ZEd6qEmAx,http://bit.ly/32qC9iL,bit.ly/32qC9iL,"[61, 84]"
2267,https://t.co/FvfltHuy68,http://bit.ly/2uqmW4T,bit.ly/2uqmW4T,"[85, 108]"
2268,https://t.co/FvfltHuy68,http://bit.ly/2uqmW4T,bit.ly/2uqmW4T,"[82, 105]"
2270,https://t.co/QQKU1NwDRQ,http://bit.ly/32kxH5f,bit.ly/32kxH5f,"[89, 112]"
2324,https://t.co/TvuSfrP0OJ,http://bit.ly/2TawnNY,bit.ly/2TawnNY,"[84, 107]"
2327,https://t.co/AcVYheVWQM,http://bit.ly/2T4tf6p,bit.ly/2T4tf6p,"[103, 126]"
2329,https://t.co/2DOnH6aIOX,http://bit.ly/2wvu1Sb,bit.ly/2wvu1Sb,"[75, 98]"
2330,https://t.co/Ls9qVYpv03,http://bit.ly/2V91LPL,bit.ly/2V91LPL,"[103, 126]"
2336,https://t.co/lBlRMXNosV,http://bit.ly/2HHegKb,bit.ly/2HHegKb,"[81, 104]"
2344,https://t.co/z1N4O0r4Lp,http://bit.ly/3bZJhXJ,bit.ly/3bZJhXJ,"[77, 100]"
2347,https://t.co/6paWmB2NaJ,http://bit.ly/2T2r4jM,bit.ly/2T2r4jM,"[57, 80]"
2351,https://t.co/akK2SUvUER,http://bit.ly/2PaOB0U,bit.ly/2PaOB0U,"[82, 105]"
2352,https://t.co/CCUkvBWVIY,https://www.youtube.com/watch?v=rcADNIKgRzQ,youtube.com/watch?v=rcADNI…,"[60, 83]"
2356,https://t.co/xO4ommOeQj,http://bit.ly/38KRM72,bit.ly/38KRM72,"[84, 107]"
2359,https://t.co/4xpIBUuEO5,http://rupt.ly/t6dzl,rupt.ly/t6dzl,"[42, 65]"
2361,https://t.co/U1sVi9cJii,https://bit.ly/2SK0Bs8,bit.ly/2SK0Bs8,"[58, 81]"
2363,https://t.co/rDkgozDDb3,https://bit.ly/32b9pdV,bit.ly/32b9pdV,"[103, 126]"
2375,https://t.co/bHjQExkyfO,http://bit.ly/2V7DTvL,bit.ly/2V7DTvL,"[82, 105]"
2377,https://t.co/bcZ3YvgMu2,http://bit.ly/2vNbi4i,bit.ly/2vNbi4i,"[59, 82]"
2380,https://t.co/Acx3MBnlhd,http://bit.ly/38KQXeB,bit.ly/38KQXeB,"[49, 72]"
2381,https://t.co/sNsvKfrtp0,http://bit.ly/2uTKC1Q,bit.ly/2uTKC1Q,"[40, 63]"
2388,https://t.co/CStkVSXdJl,http://bit.ly/2V5ZIvH,bit.ly/2V5ZIvH,"[62, 85]"
2390,https://t.co/0pDvMh1RzI,http://bit.ly/2v4QHIL,bit.ly/2v4QHIL,"[94, 117]"
2392,https://t.co/CStkVSXdJl,http://bit.ly/2V5ZIvH,bit.ly/2V5ZIvH,"[64, 87]"
2396,https://t.co/srbfVt63ng,http://bit.ly/2PptZ5d,bit.ly/2PptZ5d,"[63, 86]"
2398,https://t.co/u85d2iek9W,http://bit.ly/2T10qHP,bit.ly/2T10qHP,"[104, 127]"
2402,https://t.co/CStkVSXdJl,http://bit.ly/2V5ZIvH,bit.ly/2V5ZIvH,"[90, 113]"
2426,https://t.co/7obfoqwSos,http://bit.ly/2wvfmGN,bit.ly/2wvfmGN,"[59, 82]"
2428,https://t.co/AfQG3a4Sq9,http://rupt.ly/mg6wj,rupt.ly/mg6wj,"[135, 158]"
2431,https://t.co/19lE5iVKVQ,http://bit.ly/2ubyJDU,bit.ly/2ubyJDU,"[109, 132]"
2436,https://t.co/AfQG3amtOJ,http://rupt.ly/mg6wj,rupt.ly/mg6wj,"[110, 133]"
2439,https://t.co/IkFmvdkajh,http://rupt.ly/ze8ac,rupt.ly/ze8ac,"[85, 108]"
2448,https://t.co/8IHOeElEsF,https://bit.ly/2ue4Q60,bit.ly/2ue4Q60,"[80, 103]"
2449,https://t.co/2H2pqVNqYr,https://bit.ly/2SF44Zh,bit.ly/2SF44Zh,"[87, 110]"
2450,https://t.co/8mBzOnFNFj,https://bit.ly/32e2HE0,bit.ly/32e2HE0,"[42, 65]"
2455,https://t.co/N5o84rWVVP,https://www.youtube.com/watch?v=AZEWtlwRqbU,youtube.com/watch?v=AZEWtl…,"[47, 70]"
2462,https://t.co/Qge1kpzlNn,http://bit.ly/2T0Xds6,bit.ly/2T0Xds6,"[54, 77]"
2466,https://t.co/vkpfZ5S8a7,https://www.youtube.com/watch?v=GhsjURBWrLc,youtube.com/watch?v=GhsjUR…,"[58, 81]"
2467,https://t.co/wMWYgCeEwj,http://bit.ly/327ySVi,bit.ly/327ySVi,"[74, 97]"
2470,https://t.co/x1YuRzHxnb,http://bit.ly/39Gsnvt,bit.ly/39Gsnvt,"[85, 108]"
2477,https://t.co/uMiFQFMPAN,http://rupt.ly/nc2k6,rupt.ly/nc2k6,"[71, 94]"
2488,https://t.co/X0HsHcPfAh,https://bit.ly/3bKDoNY,bit.ly/3bKDoNY,"[85, 108]"
2495,https://t.co/R4Wdui5Sym,http://bit.ly/3bJwIQn,bit.ly/3bJwIQn,"[84, 107]"
2496,https://t.co/i3Bw6c4b3h,http://bit.ly/2UWRvtK,bit.ly/2UWRvtK,"[95, 118]"
2497,https://t.co/U6Eww0ttl3,http://bit.ly/37t2T3a,bit.ly/37t2T3a,"[57, 80]"
2501,https://t.co/vv2IIJwVv5,http://bit.ly/322f2L8,bit.ly/322f2L8,"[99, 122]"
2505,https://t.co/3ja9e8a3Mz,http://bit.ly/2STn2dd,bit.ly/2STn2dd,"[84, 107]"
2508,https://t.co/8VQ4yeQNql,http://rupt.ly/5p9w8,rupt.ly/5p9w8,"[56, 79]"
2534,https://t.co/qThoG5iyiK,https://bit.ly/2SrVAED,bit.ly/2SrVAED,"[101, 124]"
2551,https://t.co/8hnmwUeCA3,http://bit.ly/39wcSGn,bit.ly/39wcSGn,"[50, 73]"
2552,https://t.co/VPsilKTau1,http://bit.ly/2P9wmsL,bit.ly/2P9wmsL,"[71, 94]"
2558,https://t.co/Zn4VKWahEF,http://bit.ly/31Tp6WQ,bit.ly/31Tp6WQ,"[106, 129]"
2563,https://t.co/weYdWuWAeg,https://bit.ly/2HiULaS,bit.ly/2HiULaS,"[92, 115]"
2570,https://t.co/Jj7KvqZ9hS,https://bit.ly/2SnoeXt,bit.ly/2SnoeXt,"[84, 107]"
